time	abs-time	actinic-lights.light-1-CW5700K	actinic-lights.light-2-CW5700K	actinic-lights.light-3-CW5700K	actinic-lights.light-4-CW5700K	actinic-lights.light-5-CW5700K	actinic-lights.light-6-CW5700K	actinic-lights.light-7-CW5700K	actinic-lights.light-8-CW5700K	od-1-sensors.od-680	od-2-sensors.od-680	od-3-sensors.od-680	od-4-sensors.od-680	od-5-sensors.od-680	od-6-sensors.od-680	od-7-sensors.od-680	od-8-sensors.od-680	pumps-20057.pump-1-consumption	pumps-20057.pump-2-consumption	pumps-20057.pump-3-consumption	pumps-20057.pump-4-consumption	pumps-20057.pump-5-consumption	pumps-20057.pump-6-consumption	pumps-20057.pump-7-consumption	pumps-20057.pump-8-consumption
0	20.06.2023 16:02:18	100	100	100	100	100	100	100	100									1118	865.833	895.417	977.083	1149	788.333	988.833	1229
0.000278	20.06.2023 16:02:19																								
0.006944	20.06.2023 16:02:43																						788.333		
0.008333	20.06.2023 16:02:48																						788.75	988.833	
0.009722	20.06.2023 16:02:53																							989.25	
0.013333	20.06.2023 16:03:06	100	100	100	100	100	100	100	100																
0.015	20.06.2023 16:03:12	100																							
0.015278	20.06.2023 16:03:13		100	100	100	100	100	100	100																
0.016667	20.06.2023 16:03:18									0.18526	0.2011	0.2115	0.23361	0.20756	0.45537	0.16815	0.46474								
0.023611	20.06.2023 16:03:43																						788.75		
0.025	20.06.2023 16:03:48																						789.167	989.25	
0.026389	20.06.2023 16:03:53																							989.667	
0.030556	20.06.2023 16:04:08																								
0.033333	20.06.2023 16:04:18									0.19153	0.20319	0.22099	0.19727	0.16839	0.18339	0.17203	0.19671								
0.047222	20.06.2023 16:05:08																								
0.05	20.06.2023 16:05:18									0.19652	0.21187	0.22702	0.19796	0.17377	0.18873	0.17464	0.20196								
0.063889	20.06.2023 16:06:08																								
0.066667	20.06.2023 16:06:18									0.19767	0.21544	0.22532	0.1998	0.17442	0.1894	0.17529	0.20265								
0.080556	20.06.2023 16:07:08																								
0.083333	20.06.2023 16:07:18									0.20203	0.21832	0.22581	0.19385	0.17183	0.19074	0.17398	0.20219								
0.097222	20.06.2023 16:08:08																								
0.1	20.06.2023 16:08:18									0.20111	0.21449	0.22653	0.19819	0.17334	0.18962	0.1742	0.20242								
0.113889	20.06.2023 16:09:08																								
0.116667	20.06.2023 16:09:18									0.20088	0.21045	0.22751	0.19934	0.17097	0.18605	0.17268	0.20035								
0.130556	20.06.2023 16:10:08																								
0.133333	20.06.2023 16:10:18									0.19858	0.20692	0.22363	0.19727	0.17097	0.18962	0.17355	0.1958								
0.147222	20.06.2023 16:11:08																								
0.15	20.06.2023 16:11:18									0.19767	0.20599	0.22363	0.19544	0.1701	0.18739	0.16987	0.19467								
0.163889	20.06.2023 16:12:08																								
0.166667	20.06.2023 16:12:18									0.19493	0.20157	0.22605	0.19521	0.16711	0.1865	0.1703	0.19017								
0.180556	20.06.2023 16:13:08																								
0.183333	20.06.2023 16:13:18									0.19402	0.19995	0.22435	0.19521	0.16818	0.1865	0.16601	0.18906								
0.197222	20.06.2023 16:14:08																								
0.2	20.06.2023 16:14:18									0.19379	0.19995	0.2246	0.19521	0.16711	0.18605	0.16601	0.18861								
0.213889	20.06.2023 16:15:08																								
0.216667	20.06.2023 16:15:18									0.19516	0.20018	0.22508	0.19362	0.16711	0.18627	0.16901	0.18794								
0.230556	20.06.2023 16:16:08																								
0.233333	20.06.2023 16:16:18									0.19176	0.19995	0.22387	0.19248	0.16583	0.18561	0.16622	0.18794								
0.247222	20.06.2023 16:17:08																								
0.25	20.06.2023 16:17:18									0.19131	0.20064	0.22339	0.19385	0.16117	0.18119	0.16601	0.18639								
0.263889	20.06.2023 16:18:08																								
0.266667	20.06.2023 16:18:18									0.19311	0.20133	0.22387	0.19226	0.1518	0.18317	0.16558	0.18528								
0.280556	20.06.2023 16:19:08																								
0.283333	20.06.2023 16:19:18									0.18995	0.19903	0.22678	0.19067	0.16349	0.18273	0.16303	0.18198								
0.297222	20.06.2023 16:20:08																								
0.3	20.06.2023 16:20:18									0.19176	0.19972	0.22581	0.19	0.1518	0.18383	0.16473	0.1844								
0.313889	20.06.2023 16:21:08																								
0.316667	20.06.2023 16:21:18									0.18973	0.19926	0.22653	0.1891	0.15345	0.18251	0.16388	0.18176								
0.330556	20.06.2023 16:22:08																								
0.333333	20.06.2023 16:22:18									0.19018	0.19559	0.22484	0.18932	0.15118	0.18273	0.16622	0.18044								
0.347222	20.06.2023 16:23:08																								
0.35	20.06.2023 16:23:18									0.18951	0.1965	0.22678	0.18977	0.15016	0.18141	0.1624	0.17913								
0.363889	20.06.2023 16:24:08																								
0.366667	20.06.2023 16:24:18									0.19085	0.19582	0.22726	0.18685	0.14954	0.18229	0.16346	0.17804								
0.380556	20.06.2023 16:25:08																								
0.383333	20.06.2023 16:25:18									0.18861	0.19399	0.22897	0.18663	0.14893	0.17987	0.16388	0.17826								
0.397222	20.06.2023 16:26:08																								
0.4	20.06.2023 16:26:18									0.19607	0.20273	0.22848	0.18618	0.15242	0.18009	0.16516	0.18176								
0.413889	20.06.2023 16:27:08																								
0.416667	20.06.2023 16:27:18									0.18906	0.20575	0.22921	0.18775	0.15242	0.18119	0.16622	0.18242								
0.430556	20.06.2023 16:28:08																								
0.433333	20.06.2023 16:28:18									0.19493	0.20529	0.22532	0.18797	0.15325	0.18119	0.16601	0.18088								
0.447222	20.06.2023 16:29:08																								
0.45	20.06.2023 16:29:18									0.19402	0.20296	0.22897	0.18775	0.15139	0.18141	0.16665	0.1787								
0.463889	20.06.2023 16:30:08																								
0.466667	20.06.2023 16:30:18									0.19243	0.2011	0.22702	0.18842	0.15325	0.18097	0.16558	0.17891								
0.480556	20.06.2023 16:31:08																								
0.483333	20.06.2023 16:31:18									0.18906	0.19719	0.22629	0.18417	0.15016	0.17747	0.16261	0.17415								
0.497222	20.06.2023 16:32:08																								
0.5	20.06.2023 16:32:18									0.18951	0.19377	0.22678	0.18351	0.14607	0.17965	0.16092	0.17393								
0.513889	20.06.2023 16:33:08																								
0.516667	20.06.2023 16:33:18									0.18838	0.19559	0.22484	0.18085	0.1479	0.17791	0.1624	0.17135								
0.530556	20.06.2023 16:34:08																								
0.533333	20.06.2023 16:34:18									0.18682	0.19127	0.22678	0.18151	0.14526	0.17812	0.16367	0.17093								
0.547222	20.06.2023 16:35:08																								
0.55	20.06.2023 16:35:18									0.18704	0.19082	0.22653	0.18195	0.14831	0.17834	0.15881	0.16986								
0.563889	20.06.2023 16:36:08																								
0.566667	20.06.2023 16:36:18									0.18593	0.19014	0.22629	0.18262	0.14975	0.17834	0.16282	0.16964								
